ITEM_CODE,ITEM_NAME,DEPT,VALUE
89621,"JACQUARD PANEL VELVET CURTAIN  PA2101","HOME DECOR & TEXTILES",2506
80530,"KITCHEN TOWEL 2 PCS SET  DC496","HOME DECOR & TEXTILES",19.9
84807,"ZWAN 8 CHICKEN HOTDOGS IN BOTTLE  320G  12",SUPERMARKET,1427.83
53292,"PLANET ORANGE  350ML  16",SUPERMARKET,207.35
67665,"GOMETS SOUR FRUIT WORMS 100G  30",SUPERMARKET,239.8
64089,"YAZZ MONARCH TOOTHBRUSH MEDUIM BRISTLE   72",SUPERMARKET,6.78
64389,"TIC TAC  SPEAR MINT 102GM  60",SUPERMARKET,167.76
69967,"MAXIM NO LYE RELAXER LARGE  970G  16",SUPERMARKET,54.99
95717,"AMALFI  SHAMPOO FAMILIAR PEACH  750ML  16",SUPERMARKET,263.92
95797,"GIFT PAPER 53X75CM 3PCS","TOYS AND ENTERTAINMENT",76.93
95819,"AMALFI DEO ROLLON  ALOE 50ML  12",SUPERMARKET,209.9
93809,"HAMMERTONE HANDLE PLATE 15KG LKPL10615KG","SPORTS & FITNESS",549
02390,"PRINGLES EMMENTAL  175G 19",SUPERMARKET,649.87
07957,"MEANNAN TOM BROWN  500G  24",SUPERMARKET,18.99
101899,"3PCS KITCHEN TOWELS SET 45X70 COTTON ASSORTED","HOME DECOR & TEXTILES",124.5
102949,"FRES SOAP ROSE 75G   72",SUPERMARKET,4.99
105040,"LORENZ NATURALS BALSAMIC VINEGAR 100G  12",SUPERMARKET,858.33
106656,"BLING DETERGENT POWDER POUCH 160G   40",SUPERMARKET,3.49
109260,"CELLO HOTPOT SET 2PCS 10001600 SAPPHIRE","HOUSEWARE & KITCHENWARE",99
117259,"DOMS SHARPNER BLISTER PACK  1PCS 7656",STATIONERY,35.91
118581,"HEAD  SHOULDERS MENTHOL FRESH SHAMPOO 400ML 6",SUPERMARKET,111.99
117883,"MANILA A5 BROWN ENVELOPE 50PCS PACK",STATIONERY,119.97
115921,"AKAI DRY IRON 10001200W NONSTICK EI046A2080DI","ELECTRICAL APPLIANCES",810
116095,"BATHROOM SCALE CHN PP1600V0","HOUSEWARE & KITCHENWARE",837
126220,"AIRPRO  AIRREFRSHNER ORGANIC CAN  NEW CAR 42G 24",SUPERMARKET,719.82
126224,"AIRPRO NAPHTALENE BALLS WHITE SMALL 120G   120",SUPERMARKET,436.62
127274,"PLACEMAT FABRIC MULTI STRIPER PK 6PCS 33X48CM ASST","HOME DECOR & TEXTILES",6162
121667,"OFFICE DESK NOGAL TREND 51015",FURNITURE,1049
123276,"BAUDUCCO WAFER WITH CHOCOHAZELNUT FILLING 140G 24",SUPERMARKET,14.99
135323,"PACIFIER M FLOW ORTHODONTIC 45548","TOYS AND ENTERTAINMENT",661.3
135855,"FABER CASTELL ART CANVAS BOARD 16X20 891622 FC",STATIONERY,220
133211,"WIPE SHOWER GEL ASSORTED 500ML  24",SUPERMARKET,461.79
129630,"STORY BOOK HENRYS PIRATE SURPRISE 2195HEPB",STATIONERY,153.89
148531,"VASE 38CM","HOME DECOR & TEXTILES",89
146302,"5 STAR STRAWBERRY KIDS JUICE 200ML 20",SUPERMARKET,2.99
146676,"BEL ICE PINEAPPLE ALC FLAV PET DRINK  330ML 12",SUPERMARKET,12.38
141371,"WINE BUCKET WSHAKER SET 5PCS 500ML 52058","HOUSEWARE & KITCHENWARE",139
141380,"BAR TOOL SET 6PCS 52059","HOUSEWARE & KITCHENWARE",801
152118,"VISTA NEON PENCIL SET 12PCS",STATIONERY,16.99
150727,"LIFEBUOY CARBOLIC  115G   72",SUPERMARKET,13.38
149290,"CERES NECTAR MULTIFRUT FUS JUICE DRINK 1L 12",SUPERMARKET,2207.52
162938,"CURTAIN JACQUARD 54X90GREY J232","HOME DECOR & TEXTILES",654
164133,"BATHROOM 5PCS SET WHITESTORY PLASTIC 162240014","HOUSEWARE & KITCHENWARE",199
162289,"PEELER SS WWOODEN HANDLE MC73023 RJK","HOUSEWARE & KITCHENWARE",128.7
161960,"KIDS WATER BOTTLE 400ML PLASTIC SSPD PL00681","HOUSEWARE & KITCHENWARE",22.9
174419,"DISCOVERING DELIGHTS FLAP DINOSAUROCEAN LIFE",STATIONERY,195
170091,"FRIDGE BOTTLE VIBE 1000ML 831001","HOUSEWARE & KITCHENWARE",22.9
169309,"CURTAIN YARN DYED GROMET CHAR EHAYD078CH","HOME DECOR & TEXTILES",2506
168944,"FRY PAN 28CM 3MM BLK FALU BAROLY 852228 RJK","HOUSEWARE & KITCHENWARE",952
168951,"WOK PAN 26CM 35MM BLK FALU BAROLY 852826 RJK","HOUSEWARE & KITCHENWARE",1701
179955,"FILLED CUSHION LN 45X45CM BROWN EHAMKCUSHION143","HOME DECOR & TEXTILES",1188
179076,"PP ROPE PP 20M OPP YW","HARDWARE & BUILDING MATERIAL",13.9
176346,"PURE JAR WOOD SPAGHETTI JAR 2000ML FRC Q8588","HOUSEWARE & KITCHENWARE",1374
177628,"DAPHNIS PENNE 40250G  40",SUPERMARKET,174.65
178690,"WINDOW CURTAIN EMBO GROMT GRAY 52X90 02PA7150B","HOME DECOR & TEXTILES",1188
186677,"FOOD STORAGE 4400ML PLASTIC RJK YH389A","HOUSEWARE & KITCHENWARE",449
186077,"WHISKEY GLASS SET 6PCS 330ML AMBER L35086 RJK","HOUSEWARE & KITCHENWARE",649
184108,"CERAMIC MUG EMBOSSED 330ML EBCM2330 RJK","HOUSEWARE & KITCHENWARE",64.5
184525,"3PCS BEDSPREAD SET PR 86X86 MPBSQ ASTD","HOME DECOR & TEXTILES",229
182969,"FRYING PAN 26CM FALU ZHNBLY 8107626","HOUSEWARE & KITCHENWARE",1788
182980,"FRYING PAN 26CM FALU ZHNBLY 106826","HOUSEWARE & KITCHENWARE",3278
184044,"BATH TOWEL 70X135CM","HOME DECOR & TEXTILES",49.9
184099,"COOKING POT 20CM FALU ZHNBLY 1808520","HOUSEWARE & KITCHENWARE",219
194951,"LADLE SPATULA SILICONE ZHN ZC1A","HOUSEWARE & KITCHENWARE",6.9
194644,"NOTEBOOK A6 200PAGES 95X175CM HCL O51018",STATIONERY,538
192474,"FRUIT BASKET WSIDE HANDLE SS HFPFSGL1315CM","HOUSEWARE & KITCHENWARE",690
192747,"CURTAIN PR YELLOW 54X90 PL 2501Y","HOME DECOR & TEXTILES",1090
189702,"FANTA COCKTAIL PET 450ML  12",SUPERMARKET,476.47
198396,"WALL CLOCK 506X506X45 2028D","HOME DECOR & TEXTILES",537
30921,"LELE SARDINE IN SOYA OIL OMG 3 125G  50",SUPERMARKET,16.49
44832,"CERES HANEPOOT WHITE GRAPE JUICE 1L  12",SUPERMARKET,1664.63
39850,"PILLOW DONA LAT","HOME DECOR & TEXTILES",133.8
40321,"JUVER DISFRUTA NECTAR PINEAPPLE  JUICE  1L  12",SUPERMARKET,32.99
202576,"FROSTED OBLIQUE BOWL 75 C6089M","HOUSEWARE & KITCHENWARE",760.5
85490,"CONDE DE MONTERROSO TEMMPRANILLO WINE 750ML 6",SUPERMARKET,74.99
85671,"ALUMINIUM FOIL 20PCS CONTAINER WITH LID 6422 RJK","HOUSEWARE & KITCHENWARE",29.9
77057,"SERVING BOWL MELAMINE 9 INCHES ZHN 50099","HOUSEWARE & KITCHENWARE",869.4
79031,"A4 DOCUMENT FRAME 2COLORS MIX","HOME DECOR & TEXTILES",23.9
87987,"JUVER SELECCION ORANGE BOTTLE JUICE  850ML  12",SUPERMARKET,509.88
71239,"COOL BREEZE MEMBRANE AIR FRESHNER FBREEZE 8ML  12",SUPERMARKET,459.8
53634,"ADIDAS ANTI PERSPIRANT SPRAY FRESH 150ML 6",SUPERMARKET,299.94
71981,"BINGO SOFTENER SENSITIVE 1L  16",SUPERMARKET,41.99
61540,"ALWAYS MAXI THICK EXTRA LONG 7PADS  16",SUPERMARKET,47.98
49334,"DINNER PLATE MELAMINE 11 INCHES ZHN B00211","HOUSEWARE & KITCHENWARE",616.9
CL767,"CONTAINER 2PCS SET SQUARE 1300 2900 L","HOUSEWARE & KITCHENWARE",183.2
CL770,"CONTAINER 3PCS SET TRANSPARENT 1800ML3000ML4900ML","HOUSEWARE & KITCHENWARE",138
A992,"CERES PINEAPPLE FRUIT JUICE 1L 12",SUPERMARKET,539.88
X769,"STARKIST SOLID TUNA STEAK IN SUNFLOW OIL 160G  24",SUPERMARKET,850.77
92569,"SCOURER SCRUBBER W HANDLE YWU","HOUSEWARE & KITCHENWARE",9.8
97691,"LA SALUD CITRUS DETERGENT KITCHEN CLEANER 15L  8",SUPERMARKET,122.97
92695,"LADLE TURNER CX18191 PLASTIC YWU","HOUSEWARE & KITCHENWARE",89.4
95764,"AMALFI SHAMPOO KERATIN GREASY HAIR MOJITO 750ML 16",SUPERMARKET,362.89
95818,"AMALFI DEO ROLLON ROSEHIP 50ML  12",SUPERMARKET,159.92
91373,"HOTFRO OIL MIXWITH COCONUT SHEA BUTTER 250ML  24",SUPERMARKET,443.88
101077,"PERLA LUXURY MOISTURIZING SOAP ROSE 175G  18",SUPERMARKET,99.9
100802,"ZOMBA PINK COCKTAIL 0 ALC 750ML 6",SUPERMARKET,42.49
107808,"JUG WCUP  LID 3000ML PLASTIC HW1024C","HOUSEWARE & KITCHENWARE",99.8
111809,"CUSHION 42X42CM 400G FOIL PRINT POLYESTER","HOME DECOR & TEXTILES",75
113956,"BELGINGERALE CAN DRINK 330ML 24",SUPERMARKET,16.98
112793,"DOVE SPRAY  INVISIBLE CARE 250ML 24",SUPERMARKET,44.99
115034,"MJS 100 PURE HONEY 500G 12",SUPERMARKET,55.99
129556,"BOWL PUDDING GLASS 3 W1080036CB RJK","HOUSEWARE & KITCHENWARE",39.6
126195,"ZOFLORA LINEN FRESH   120ML  12",SUPERMARKET,643.86
124059,"FOOTBALL SIZE5","SPORTS & FITNESS",1106
124676,"SAMSUNG WASHING MACHINE FL 8KG WW80T3040BSNQ","ELECTRICAL APPLIANCES",11489
134251,"LISTERINE MOUTHWASH SPEARMINT 500ML 6",SUPERMARKET,510.93
135343,"MADAR EVIDA SOAP 150G 24",SUPERMARKET,7.29
135910,"FABER CASTELL WHITE GLUE WDBOTTLE 40ML 220140 FC",STATIONERY,6.9
139267,"GODREJ SAFE GREY NX PRO 40L EL","HARDWARE & BUILDING MATERIAL",5199
148442,"MUG 350ML CERAMIC GGK YWU","HOUSEWARE & KITCHENWARE",389.3
148547,"PERLA MINERAL WATER 750ML 16",SUPERMARKET,3.58
148625,"HOOKS 5UNITS OVER THE DOOR SSTEEL YWU","HOUSEWARE & KITCHENWARE",23.9
148702,"MEDAL YELLOWGREENBLUE ROPE","SPORTS & FITNESS",19
148028,"PHOTO FRAME 5X7","HOME DECOR & TEXTILES",99.8
146651,"PLANTER 19X85X9CM 2328","HOME DECOR & TEXTILES",654
145697,"BIN WFLAT LID MATT FINISH RND 5L PEDAL AAA05 RK","HOUSEWARE & KITCHENWARE",109
154733,"VILEDA DUSTPAN WBRUSH 141742","HOUSEWARE & KITCHENWARE",745
