SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
MSS,08642,"RUBICON STILL MANGO JUICE  1L 12",36.99,10,SUPERMARKET
MSS,08736,"GOODYS SPICY SHITO HOT BEEF 845G 12",144.99,7,SUPERMARKET
M05,08763,"COUNTRE MILK BANANA 500ML 18",35.99,9,SUPERMARKET
MSS,08768,"ELLEVIRE LONG LIFE SEMISKIMMED MILK 1L 6",42.99,65,SUPERMARKET
KCS,08770,"COUNTRE MILK CHOCOLATE 500ML 18",35.99,6,SUPERMARKET
KAS,08770,"COUNTRE MILK CHOCOLATE 500ML 18",35.99,11,SUPERMARKET
KAS,08772,"COUNTRE MILK VANILLA 500ML 18",35.99,12,SUPERMARKET
SPN,08778,"ELLEVIRE GREC DAIRY DESSERT STRAWB LEM 4X125G 6",88.99,38,SUPERMARKET
M03,08780,"ELLEVIRE MIXED BERRIES DAIRY DESSERT 4X125G 6",64.99,8,SUPERMARKET
KAS,08785,"ELLEVIRE LONG LIFE WHOLE MILK  1L 6",42.99,-7,SUPERMARKET
SPN,08791,"SMA INFANT FORMULA MILK GOLD 400G 12",175.99,23,SUPERMARKET
KCS,08791,"SMA INFANT FORMULA MILK GOLD 400G 12",175.99,13,SUPERMARKET
KAS,08792,"ELLEVIRE YAGGO DAIRY DESSERT STRAWBERRY 4X125G 6",59.99,7,SUPERMARKET
MDN,08813,"WC NET INTENSE GEL LAVENDER FRESH 750ML  12",52.99,10,SUPERMARKET
KS7,08818,"WC NET INTENSE GEL  OCEAN FRESH   750ML  12",53.99,21,SUPERMARKET
GBA,08835,"FAULTLESS HEAVY SPRAY STARCH LEMON 567G 12",59.99,10,SUPERMARKET
KAS,08932,"MAXIME MUSHROOM SLICES 850G 12",99.99,12,SUPERMARKET
ACH,08934,"ORO INSECTICIDE 405 DOUBLE ACTION 300ML 24",30.99,9,SUPERMARKET
SPN,09089,"PEAK MILK POWDER 900G 12",235.99,27,SUPERMARKET
MDN,09089,"PEAK MILK POWDER 900G 12",235.99,28,SUPERMARKET
FAR,09134,"TASTY TOM TOMATO PASTE 2200G 6",82.99,12,SUPERMARKET
M04,09176,"NEDERBURG SAUVIGNON BLANC WINE 750ML 6",172.99,10,SUPERMARKET
ACH,09176,"NEDERBURG SAUVIGNON BLANC WINE 750ML 6",172.99,1,SUPERMARKET
KAS,09224,"ALWAYS ULTRA THIN LONG WITH WINGS 8PADS X 16",23.99,4,SUPERMARKET
SPN,09239,"SANKOFA PLANTAIN CHIPS SPICY SWEET CHILI 50G  25",14.99,20,SUPERMARKET
KS7,09262,"TANQUERAY DRY GIN 75CL 12",339.99,2,SUPERMARKET
TMP,09265,"GILLETTE MACH 3 CARTRIDGE 4 BLADES 10",224.99,15,SUPERMARKET
LFS,09274,"DUREX ELITE CONDOMS  3 24",34.99,24,SUPERMARKET
LFS,09307,"CHTOURA GARDENS ROSE WATER 250ML 24",16.99,10,SUPERMARKET
KAS,09345,"NEDERBURG WINEMASTERS CHARDONNAY WINE 750ML 6",172.99,1,SUPERMARKET
TMP,09467,"BADIA GARLIC POWDER 8505G  8",44.99,2,SUPERMARKET
M05,09467,"BADIA GARLIC POWDER 8505G  8",44.99,7,SUPERMARKET
ACH,09472,"BADIA  BAZIL SWEET 213G  8",44.99,21,SUPERMARKET
LFS,09473,"BADIA CINNAMON POWDER 567G  8",50.49,10,SUPERMARKET
TMP,09478,"BADIA CURRY POWDER 567G  8",44.99,3,SUPERMARKET
MAS,09480,"BADIA GROUND BLACK PEPPER 567G  8",51.99,7,SUPERMARKET
KCS,09484,"BADIA POULTRY SEASONING BLEND 1559G  6",74.99,3,SUPERMARKET
TMP,09485,"BADIA STEAK SEASONING 1843G  6",79.99,5,SUPERMARKET
LFS,09486,"BADIA LEMON  PEPPER SEASONING 1843G  6",84.99,5,SUPERMARKET
KS7,09486,"BADIA LEMON  PEPPER SEASONING 1843G  6",84.99,9,SUPERMARKET
LFS,09488,"BADIA GARLIC GROUND PARSLEY 1417G  6",99.99,6,SUPERMARKET
LFS,09489,"BADIA ITALIAN SEASONING 354G  6",76.99,8,SUPERMARKET
ACH,09489,"BADIA ITALIAN SEASONING 354G  6",76.99,10,SUPERMARKET
KS7,09496,"BADIA ADOBO WITHOUT  PEPPER 3614G  12",89.99,14,SUPERMARKET
LFS,09498,"BADIA GINGER GROUND 12OZ  6",199.99,2,SUPERMARKET
HAA,09498,"BADIA GINGER GROUND 12OZ  6",199.99,7,SUPERMARKET
SPN,09498,"BADIA GINGER GROUND 12OZ  6",199.99,7,SUPERMARKET
TMP,09499,"BADIA SEASONING COMPLETE 12OZ  12",99.99,9,SUPERMARKET
LFS,09515,"BADIA JERK SEASONING 1417G  6",80.99,-1,SUPERMARKET
KS7,09523,"BADIA CINNAMON POWDER 1134G  6",79.99,11,SUPERMARKET
LFS,09608,"COGNAC REMY MARTIN VSOP 700 ML  6",849.99,3,SUPERMARKET
KAS,09608,"COGNAC REMY MARTIN VSOP 700 ML  6",849.99,8,SUPERMARKET
KS7,09684,"BAMBINO VERMICELLIROASTED 200G  104",13.99,5,SUPERMARKET
TMP,09912,"GINO TOMATO PASTE 22KG 6",69.99,3,SUPERMARKET
